date,tmin,tmax,prcp,wdir,wspd,pres
2018-12-29,8.8,16.4,0.0,107.0,9.0,1021.3
2018-12-30,7.7,18.8,0.0,157.0,8.7,1020.0
2018-12-31,6.4,18.2,0.0,192.0,6.7,1025.1
2019-01-01,7.3,19.5,0.0,203.0,7.2,1029.0
2019-01-02,7.0,18.4,0.0,187.0,7.5,1029.2
2019-01-03,6.3,16.5,0.0,109.0,10.0,1025.5
2019-01-04,4.4,17.8,0.0,131.0,8.1,1026.1
2019-01-05,4.6,18.4,0.0,154.0,7.4,1029.2
2019-01-06,2.5,18.4,0.0,185.0,8.3,1029.4
2019-01-07,5.6,22.0,0.0,131.0,10.0,1027.7
2019-01-08,3.7,16.7,0.0,99.0,8.3,1025.6
2019-01-09,5.1,17.5,0.0,234.0,8.8,1022.0
2019-01-10,6.2,17.9,0.0,207.0,8.9,1018.3
2019-01-11,6.4,17.5,0.0,119.0,10.9,1020.0
2019-01-12,6.4,17.5,0.0,94.0,8.5,1022.7
2019-01-13,4.5,19.4,0.0,218.0,7.7,1024.9
2019-01-14,4.8,17.9,0.0,179.0,8.4,1023.5
2019-01-15,6.3,17.6,0.0,232.0,8.4,1021.5
2019-01-16,6.7,18.4,0.0,224.0,11.9,1020.4
2019-01-17,9.4,17.8,0.0,245.0,9.6,1018.7
2019-01-18,9.4,16.8,5.1,180.0,9.2,1020.5
2019-01-19,7.4,17.9,0.0,229.0,13.4,1023.0
2019-01-20,14.0,16.9,7.9,297.0,15.9,1021.1
2019-01-21,9.4,17.2,3.0,332.0,11.1,1022.4
2019-01-22,6.4,17.4,0.8,233.0,8.5,1024.7
2019-01-23,11.0,16.4,0.3,230.0,9.3,1023.0
2019-01-24,12.1,16.8,4.1,237.0,7.1,1017.5
2019-01-25,8.4,17.4,0.5,96.0,10.7,1016.3
2019-01-26,11.3,15.9,0.0,202.0,6.9,1019.6
2019-01-27,10.6,18.4,0.0,246.0,9.1,1022.7
2019-01-28,10.9,17.1,0.0,44.0,12.3,1025.3
2019-01-29,10.8,17.8,0.0,99.0,8.0,1024.1
2019-01-30,12.0,18.4,0.0,247.0,9.3,1020.7
2019-01-31,11.4,18.6,0.3,224.0,12.4,1017.1
2019-02-01,13.4,16.7,0.0,253.0,21.2,1013.2
2019-02-02,10.4,16.7,20.1,309.0,11.5,1020.3
2019-02-03,6.4,15.9,0.8,90.0,11.9,1025.9
2019-02-04,8.3,15.9,0.0,69.0,14.4,1025.5
2019-02-05,6.4,18.7,0.0,110.0,7.5,1026.1
