date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-12-29,11.2,7.5,17.5,,,98.0,6.7,24.1,1020.6,
2018-12-30,11.3,5.1,20.9,,,111.0,3.4,22.2,1019.8,
2018-12-31,10.2,3.8,17.7,,,109.0,3.7,20.4,1024.7,
2019-01-01,10.8,5.1,19.4,,,153.0,4.5,16.7,1028.7,
2019-01-02,10.9,5.2,17.6,,,127.0,5.3,14.8,1028.6,
2019-01-03,10.4,5.6,18.0,,,100.0,7.3,22.2,1025.0,
2019-01-04,9.9,4.5,16.6,,,139.0,5.3,16.7,1025.7,
2019-01-05,10.1,4.5,17.5,,,116.0,5.8,20.4,1028.8,
2019-01-06,9.2,2.0,17.0,,,127.0,4.7,16.7,1028.8,
2019-01-07,10.3,3.6,16.5,,,111.0,7.2,20.4,1027.2,
2019-01-08,9.7,4.5,16.5,,,101.0,6.7,20.4,1025.0,
2019-01-09,10.2,5.1,16.5,,,174.0,7.0,16.7,1021.4,
2019-01-10,10.7,6.2,16.6,,,165.0,5.7,18.5,1017.6,
2019-01-11,11.3,5.1,17.5,,,97.0,8.4,24.1,1019.9,
2019-01-12,10.7,4.5,17.9,,,78.0,6.5,22.2,1022.3,
2019-01-13,9.2,3.1,17.5,,,131.0,4.3,18.5,1024.5,
2019-01-14,10.2,3.8,16.6,,,131.0,5.5,16.7,1022.9,
2019-01-15,10.1,3.8,16.5,,,159.0,5.4,16.7,1021.0,
2019-01-16,11.6,6.0,17.5,,,186.0,7.4,20.4,1019.8,
2019-01-17,12.6,9.3,16.7,3.0,,209.0,8.7,22.2,1018.0,
2019-01-18,11.7,7.5,16.5,3.0,,174.0,5.1,18.5,1019.9,
2019-01-19,12.4,7.1,15.5,0.0,,205.0,16.1,37.0,1021.6,
2019-01-20,14.9,11.2,16.5,69.1,,278.0,19.1,44.5,1019.2,
2019-01-21,12.2,7.5,16.5,11.9,,288.0,7.3,24.1,1021.3,
2019-01-22,11.4,6.6,15.3,0.0,,210.0,10.5,29.6,1023.8,
2019-01-23,12.9,8.7,15.5,5.1,,231.0,14.1,29.6,1021.7,
2019-01-24,13.2,10.1,16.2,13.0,,219.0,12.2,24.1,1016.6,
2019-01-25,12.0,7.7,17.5,1.0,,64.0,5.2,20.4,1016.0,
2019-01-26,11.9,7.5,15.5,0.0,,181.0,4.4,16.7,1019.1,
2019-01-27,13.2,9.5,16.5,,,223.0,10.3,27.8,1021.9,
2019-01-28,12.6,7.7,16.5,,,229.0,6.8,22.2,1024.6,
2019-01-29,13.7,9.4,17.1,,,204.0,5.3,20.4,1023.4,
2019-01-30,13.8,11.2,16.6,,,217.0,6.9,22.2,1019.8,
2019-01-31,14.4,11.8,16.7,0.5,,209.0,13.9,31.5,1016.1,
2019-02-01,14.8,13.5,16.5,0.0,,241.0,26.2,48.2,1011.4,
2019-02-02,12.4,7.5,15.5,42.9,,290.0,13.0,33.3,1019.4,
2019-02-03,10.3,5.5,15.5,1.0,,90.0,7.7,25.9,1025.6,
2019-02-04,9.7,3.5,18.3,0.0,,84.0,7.9,29.6,1025.6,
2019-02-05,11.1,4.5,18.4,,,138.0,4.6,18.5,1025.6,
2019-02-06,12.2,5.5,19.5,,,150.0,4.4,16.7,1024.1,
2019-02-07,12.6,7.5,17.5,,,103.0,4.8,18.5,1023.7,
2019-02-08,10.7,6.5,14.5,,,96.0,3.9,20.4,1023.0,
2019-02-09,11.1,6.4,16.5,,,91.0,7.8,20.4,1023.4,
