date,tmin,tmax,prcp,wdir,wspd,pres
2023-10-04,20.2,28.5,0.0,116.0,5.3,1018.9
2023-10-05,20.1,27.4,0.0,265.0,4.9,1018.2
2023-10-06,18.4,30.0,0.0,128.0,4.3,1017.8
2023-10-07,21.1,33.1,0.0,122.0,5.8,1017.8
2023-10-08,20.4,30.4,0.0,268.0,5.2,1017.8
2023-10-09,18.4,31.8,0.0,209.0,5.7,1018.1
2023-10-10,20.3,27.4,0.0,264.0,6.9,1017.8
2023-10-11,18.9,26.3,0.0,278.0,7.6,1018.1
2023-10-12,19.0,26.4,0.0,273.0,5.9,1017.5
2023-10-13,16.5,27.7,0.0,219.0,6.4,1019.4
2023-10-14,20.8,33.4,0.0,60.0,7.4,1020.5
2023-10-15,22.2,30.6,0.0,88.0,4.7,1017.8
2023-10-16,21.1,28.4,0.1,254.0,5.8,1013.1
2023-10-17,23.3,31.9,0.0,244.0,12.0,1011.0
2023-10-18,20.4,27.4,0.0,256.0,11.2,1014.7
